neg_score,neut_score,pos_score,comp_score,length,similarity,count_hedgewords,author_flair,author_score,delta
2.7,80.5,16.7,99.22,2232,100,1140,8,52,1
19,72.4,8.6,-98.78,1489,100,360,66,6,1
4.1,87.3,8.6,98.61,4708,100,1920,6,34,1
7.4,77.6,14.9,94.93,1082,100,300,66,0,1
10.3,83.8,5.9,-97.59,2635,100,360,1,8,1
0.5,66.8,32.6,99.87,1494,100,540,24,29,1
5.7,88.7,5.6,-27.32,592,100,240,27,10,1
1.4,85.9,12.7,91.09,654,100,120,5,3,1
3.8,83.8,12.3,98.49,1735,100,600,66,1,1
9.6,79.8,10.6,-47.21,3358,100,720,4,7,1
2.1,79.7,18.1,99.6,2053,98.79277727,840,24,1,1
30.6,59.2,10.2,-99.35,937,100,420,1,9,1
6.3,69.6,24.2,98.95,1008,100,420,1,3,1
39.8,58.9,1.3,-99.81,975,100,120,3,51,1
24.4,65.1,10.5,-97.68,867,96.94757423,300,2,13,1
22.3,69.1,8.6,-98.83,1127,97.56643196,180,3,3,1
1.5,94.9,3.7,58.44,1072,100,180,2,1,1
1.7,86.3,12,97.54,1267,100,420,1,2,1
7.2,76.4,16.4,98.76,2152,100,720,3,100,1
4.7,80.4,14.9,97.31,1375,100,415,2,3,1
10,76.7,13.4,93.55,2334,100,660,66,3,1
10.2,76,13.8,96.5,2829,97.66204835,360,17,1,1
15.6,73.7,10.7,-94.75,1701,100,300,66,5,1
5.3,87.6,7.1,1.86,307,100,60,47,13,1
16.9,75.2,7.9,-96.07,1354,100,600,66,12,1
13.2,75.2,11.6,-96,3410,100,720,1,2,1
16.1,78.2,5.6,-97.7,934,100,360,18,21,1
0,100,0,0,67,100,60,8,3,1
14.8,80.3,4.9,-98.59,1525,100,300,3,13,1
5.4,87.4,7.3,47.31,714,100,180,1,1,1
18.1,69.6,12.4,-96.29,1066,100,420,31,7,1
23.6,68.5,7.9,-91.86,318,100,180,8,2,1
15.2,73,11.8,-95.28,2884,100,540,11,76,1
10.9,85.6,3.5,-96,1411,100,360,1,76,1
3,91.4,5.6,57.19,819,100,540,1,1,1
6.8,85.2,7.9,36.28,1225,100,420,3,90,1
15.6,68.2,16.2,82.83,2725,100,960,47,177,1
17.5,71.6,10.9,-89.13,836,98.3431332,360,1,34,1
20.4,72.4,7.3,-99.47,2092,99.41359048,660,2,28,1
1.7,92.9,5.4,53.29,414,100,428,21,3,1
5.5,86.5,8,93.46,3974,100,480,1,3,1
0,100,0,0,280,100,120,18,7,1
20.3,68.7,11,-99.81,4092,100,540,2,42,1
22,75.3,2.7,-95.47,480,97.13293564,120,1,2,1
16.3,76.8,6.9,-98.06,1364,100,360,3,20,1
4.3,87.5,8.2,76.99,839,100,180,1,3,1
28.6,51.8,19.6,-78.86,481,100,60,7,2,1
7.4,71.6,20.9,98.31,1190,100,120,3,71,1
9.3,76.4,14.3,96.61,2396,98.54425557,660,1,7,1
5.2,83.4,11.4,91.12,1582,98.7285218,480,1,6,1
11.1,76.8,12.1,-27.4,4626,99.1076511,1560,1,5,1
5.8,83.5,10.7,93.09,1698,100,660,1,9,1
12.4,79.6,8,-97.2,3262,95.4784729,300,1,21,1
10.9,74.4,14.7,99.54,5936,100,2160,3,5,1
21,71.8,7.2,-97.19,712,100,60,24,7,1
0,100,0,0,72,100,0,2,1,1
5.4,88.9,5.7,2.58,205,100,60,7,1,1
13.4,70.9,15.7,57.17,1362,100,240,1,7,1
0,88.2,11.8,45.88,203,100,0,2,1,1
13.1,76.5,10.5,-88.07,1138,100,600,7,4,1
12.1,71.5,16.5,83.14,1325,100,480,1,5,1
15.6,63.5,21,91.45,896,100,180,1,6,1
11.5,77.9,10.6,-13.44,2654,100,900,1,6,1
4,77.3,18.7,99.51,1986,100,240,27,6,1
16.8,74.9,8.4,-97.94,1530,100,540,1,4,1
21.4,70.2,8.4,-98.93,1338,100,240,8,116,1
18.7,72.3,9.1,-99.21,2406,100,300,13,26,1
8.5,84.9,6.6,-80.53,2422,98.48075933,420,2,4,1
3.8,85.7,10.5,96.36,1609,100,120,13,5,1
3.5,73.6,22.9,97.99,959,100,300,2,6,1
0,84.2,15.8,94.55,528,100,120,19,4,1
14,78.7,7.3,-96.75,1695,100,240,1,12,1
10.6,83.6,5.8,-96.55,2374,98.62784355,540,5,6,1
6.6,81.8,11.5,94.98,3684,100,720,1,21,1
26.3,63.2,10.5,-99.98,6710,100,1020,2,13,1
2.7,86.5,10.8,99.7,5053,100,944,10,2,1
3.2,90.1,6.7,72.01,1435,98.30902406,720,1,2,1
6.4,88.3,5.3,-48.65,626,100,60,1,13,1
3.6,94.5,1.9,-64.86,1054,100,540,1,3,1
11,75.6,13.4,-34.5,1875,100,600,12,26,1
8.8,80.6,10.5,33.82,708,98.59452274,240,47,4,1
0,89.1,10.9,85.17,473,100,120,8,3,1
23.4,58.6,18,-33.84,139,100,0,11,10,1
13.7,82.4,3.8,-91.36,767,100,60,1,1,1
9.6,83.8,6.6,-20.34,351,100,60,1,1,1
0,94.1,5.9,34,268,100,120,27,3,1
20.1,71.1,8.8,-99.79,3035,100,720,3,15,1
10.6,87.4,2,-87.85,732,100,60,4,2,1
5.5,77.8,16.6,92.38,736,97.56747775,240,3,3,1
3.3,96.7,0,-40.19,536,95.937646,120,1,1,1
9.1,87.7,3.2,-90.82,1237,98.52611811,240,10,1,1
9.8,82.1,8.1,-36.12,999,100,360,5,39,1
9.9,80.8,9.3,59.36,2029,100,360,1,2,1
18.9,71.7,9.4,-99.2,2281,100,480,47,20,1
13.9,74.2,11.9,-92.99,2696,100,300,1,38,1
8.9,89.1,2,-81.26,623,100,180,2,1,1
26.2,73.8,0,-84.85,280,100,120,1,2,1
7.3,90.2,2.5,-82.71,811,100,360,1,5,1
11,84.4,4.6,-95.87,1300,100,420,117,13,1
8.8,66.6,24.6,41.95,106,100,0,8,2,1
16.1,78.9,5,-97.16,708,95.18654062,360,24,3,1
4.7,87.5,7.8,76.5,1566,95.74462706,420,3,1,1
3,82.2,14.8,97.57,1315,100,300,1,15,1
7.9,84.7,7.4,-49.59,1318,98.78097177,300,3,12,1
5.7,78.9,15.5,99.92,7591,100,2280,3,82,1
17.1,59.9,23,94.04,1002,100,0,19,64,1
11.9,82.5,5.6,-87.23,938,100,360,11,1,1
17.2,76.7,6.2,-99.52,2311,100,1140,3,1,1
15.2,83.1,1.6,-82.57,383,100,60,11,1,1
10.5,80.5,9,-72.45,1889,97.00410676,720,1,2,1
7.4,83.1,9.5,19.79,174,100,0,1,1,0
15.3,71.7,13,-93.6,2168,100,540,2,2,0
15.2,69,15.8,-5.61,1608,100,300,5,2,0
6.2,79.6,14.2,97.61,1932,100,420,58,1,0
0,70.6,29.4,36.12,40,100,0,9,2,0
6.3,83,10.7,74.72,518,100,0,1,3,0
30,49.7,20.4,-71.78,223,100,360,6,2,0
8.1,81.1,10.8,29.6,828,100,120,78,1,0
3.7,80.5,15.8,93.92,630,100,300,29,3,0
0,100,0,0,79,100,60,88,6,0
10.7,70.1,19.2,71.28,393,100,60,45,1,0
11.3,82.3,6.4,-38.18,190,100,0,2,2,0
50.3,49.7,0,-97.82,189,100,180,1,0,0
20.7,79.3,0,-69.08,104,100,0,1,1,0
31.6,61.2,7.2,-96.77,394,100,180,1,-5,0
9.9,82.2,7.9,-49.56,956,100,360,14,2,0
5.2,76.7,18.1,99.63,2449,100,120,1,1,0
21,59.9,19.2,12.93,312,100,0,5,3,0
13,75.8,11.2,-65.13,710,100,180,5,1,0
0,95.5,4.5,34,602,100,0,3,2,0
6.7,91.1,2.2,-60.2,641,100,300,4,2,0
4.6,95.4,0,-29.6,294,100,120,9,0,0
0,100,0,0,35,100,60,1,1,0
8.3,79,12.7,93.95,2170,100,540,3,1,0
0,100,0,0,290,100,0,1,7,0
0,100,0,0,84,100,60,17,1,0
2.5,75.8,21.7,75.14,269,100,180,1,2,0
19.1,63.8,17,-15.31,134,100,0,1,-2,0
8.7,76.6,14.7,95.62,1286,100,240,1,17,0
7,85.2,7.8,51.01,929,100,120,2,1,0
8.1,81.1,10.8,29.6,841,100,120,10,1,0
13.5,86.5,0,-32.91,105,100,60,1,2,0
26,62.4,11.5,-99.59,2205,100,300,30,21,0
2.4,91.3,6.2,29.6,417,100,180,42,3,0
10.3,78.6,11.1,35.59,1053,100,120,6,5,0
8.1,83.2,8.7,31.29,1275,100,540,66,1,0
6.1,82.1,11.8,82.01,640,100,180,2,62,0
0,77.9,22.1,62.4,117,100,60,1,7,0
0,93.7,6.3,19.01,148,100,60,4,3,0
0,64.3,35.7,41.73,37,100,0,1,4,0
5.7,81.8,12.6,92.92,1169,100,180,9,1,0
5,74,21,86.87,775,100,0,60,2,0
26.9,68.2,4.9,-99.06,754,100,120,1,1,0
11.1,72.1,16.8,69.18,424,100,120,1,16,0
14.3,85.7,0,-77.17,289,100,180,2,1,0
0,66.4,33.6,72.58,92,100,180,4,1,0
0,89.4,10.6,49.27,164,100,120,29,10,0
3.7,84,12.4,71.14,364,100,0,1,1,0
9.9,81.3,8.8,-74.12,1258,100,240,10,1,0
10.4,71.6,18,45.88,350,100,0,4,2,0
32.7,67.3,0,-52.67,53,100,0,10,1,0
10.7,76.8,12.5,-6.34,191,100,60,18,8,0
2.6,92.7,4.7,25,522,100,60,3,2,0
10.6,89.4,0,-7.72,71,100,0,24,3,0
0,95.7,4.3,39.39,633,100,60,3,4,0
0,23.8,76.2,49.39,13,100,0,8,1,0
3.8,82.7,13.4,69.56,273,100,0,24,2,0
0,92,8,42.15,255,100,0,1,9,0
25.8,74.2,0,-91.73,257,100,120,1,16,0
7.8,90,2.2,-86.26,1753,100,300,2,5,0
0,44.6,55.4,82.68,55,100,60,7,1,0
4.5,72.4,23.1,98.62,959,100,120,1,15,0
17.3,82.7,0,-55.88,129,100,0,1,1,0
8.8,81.5,9.7,28.33,741,100,120,2,3,0
25.1,51.9,22.9,-12.8,83,100,0,2,1,0
5.3,89.4,5.3,0,145,100,60,49,1,0
14.9,81.1,4,-79.1,411,100,60,2,2,0
0,100,0,0,45,100,60,3,1,0
5.3,76.6,18.1,82.01,464,100,180,1,16,0
15,79.1,5.9,-97.88,1744,100,300,11,6,0
9.4,90.6,0,-40.19,178,100,0,1,1,0
28.6,54.8,16.6,-87.27,274,100,0,5,1,0
18.9,75.5,5.7,-70.96,192,100,180,7,1,0
15.9,69.4,14.7,-15.31,210,100,60,15,2,0
10.3,72.8,16.9,17.79,128,100,60,1,8,0
26.7,65.6,7.7,-96.64,442,100,0,14,1,0
19.2,80.8,0,-22.63,63,100,0,1,1,0
16.3,75.8,7.9,-94.11,1087,100,360,9,2,0
5.4,73.9,20.6,94.85,874,100,180,11,3,0
13.6,72.8,13.6,0,127,100,0,4,1,0
7.1,77.1,15.8,99.42,2955,100,660,11,2,0
24.1,75.9,0,-54.23,78,100,60,3,1,0
2.7,88.1,9.2,59.94,450,100,120,1,-1,0
0,100,0,0,28,100,0,5,1,0
4.4,71.5,24.1,90.72,271,100,60,3,1,0
21.9,66.3,11.8,-93.94,613,100,240,11,3,0
10.4,75.1,14.6,61.14,483,100,120,60,1,0
18.6,73.5,7.9,-58.6,258,100,60,7,2,0
4.3,83,12.7,95.49,1100,100,355,7,1,0
8.9,86,5.1,-29.15,399,100,120,1,2,0
16.7,66.6,16.8,26.77,437,100,60,6,2,0
6.9,83.5,9.6,64.92,1423,100,300,7,7,0
34,66,0,-89.79,172,100,120,3,3,0
17.6,76.2,6.2,-83.68,378,100,0,16,1,0
26,70.7,3.3,-93.64,350,100,240,2,1,0
7.7,90.2,2.1,-72.31,752,100,60,5,2,0
23.2,70,6.8,-94.13,416,100,120,24,1,0
0,100,0,0,52,100,55,1,1,0
0,100,0,0,48,100,0,6,6,0
18.4,81.6,0,-56.32,153,100,120,5,1,0
5.9,88.7,5.4,-5.16,209,100,115,1,1,0
5.7,84.2,10,54.23,482,100,60,1,6,0
0,100,0,0,41,100,0,1,-1,0
2.5,80.4,17.1,99.09,1615,100,480,1,1,0
0,91.8,8.2,36.12,168,100,0,14,1,0
33.7,66.3,0,-76.5,91,100,0,88,1,0
14.8,71.3,13.9,-88.1,2687,100,1135,18,3,0
0,31.9,68.1,75.06,28,100,0,1,1,0
0,89.4,10.6,36.12,127,100,60,3,5,0
0,100,0,0,146,100,60,13,1,0
6.9,82.1,11,68.04,579,100,240,7,3,0
24.1,66.2,9.7,-96.81,663,100,180,1,1,0
10.3,84.8,4.9,-51.27,314,100,60,42,1,0
6.8,73,20.3,61.24,202,100,180,3,1,0
0,74.1,25.9,63.69,76,100,0,6,5,0
24,70.2,5.8,-78.76,151,100,0,20,1,0
29.7,70.3,0,-58.59,76,100,0,1,-4,0
39,61,0,-49.39,38,100,60,60,3,0
25.3,74.7,0,-69.56,79,100,0,2,-3,0
9.5,88.7,1.8,-69.45,493,100,0,15,1,0
0,100,0,0,93,100,0,1,2,0
0,77.6,22.4,49.02,61,100,0,2,5,0
0,100,0,0,76,100,0,12,0,0
13.3,64.5,22.2,61.24,233,100,60,1,3,0
6.6,86.9,6.5,-29.33,1362,100,900,7,2,0
21.3,78.7,0,-65.97,119,100,120,1,1,0
32.9,59.1,8,-99.77,1151,100,180,9,1,0
0,84.5,15.5,60.65,158,100,115,31,1,0
19.9,68.6,11.6,-87.79,429,100,120,5,14,0
1.7,90.4,7.9,61.06,387,100,60,88,1,0
15.9,78.9,5.2,-98.58,2020,100,360,76,9,0
10.1,89.9,0,-36.12,201,100,240,3,-3,0
23.6,68.5,7.9,-67.92,129,100,0,2,0,0
8.5,83.1,8.3,-27.32,270,100,120,17,1,0
6.8,85.4,7.8,-39.19,1398,100,240,27,9,0
13.9,79,7.1,-99.19,3459,100,1080,9,1,0
16.3,72.9,10.8,-22.63,275,100,115,1,1,0
6.6,84,9.4,22.16,549,100,0,1,1,0
4.5,81.4,14.1,54.23,237,100,0,117,1,0
19.5,74.7,5.8,-97.83,1041,100,60,2,10,0
6.6,93.4,0,-29.25,377,100,60,17,1,0
0,100,0,0,28,100,0,10,0,0
8.6,70.6,20.8,95.88,736,100,240,78,5,0
10.3,74.5,15.2,70.65,546,100,60,2,0,0
16.6,70.8,12.6,-97.4,2356,100,600,2,5,0
9.4,64.5,26.1,59.67,122,100,0,1,0,0
20.6,76,3.4,-89.8,389,100,180,27,3,0
9.3,78.8,11.9,44.16,755,100,60,2,1,0
11.5,74.2,14.4,29.6,191,100,0,1,3,0
25.8,69.3,4.9,-97.32,637,100,60,19,1,0
14.8,79.6,5.6,-80.42,544,100,180,1,1,0
14.7,58.8,26.5,29.51,130,100,0,1,-3,0
5.4,76.2,18.5,80.74,403,100,120,1,1,0
8.2,85.4,6.4,-36.85,813,100,180,3,20,0
6,85.6,8.4,24.06,458,100,60,5,18,0
0,28.6,71.4,61.24,104,100,0,10,3,0
38.5,46.2,15.3,-98.68,464,100,0,15,2,0
3.9,88.9,7.2,27.32,407,100,180,5,1,0
13.5,81.9,4.6,-97.35,2004,100,420,11,2,0
8.1,91.9,0,-78.74,523,100,120,47,2,0
17,72.3,10.7,-96.54,1484,100,240,7,5,0
20.8,59.7,19.5,-10.27,134,100,60,2,-4,0
15.4,81.1,3.4,-91.41,571,100,240,88,3,0
4.3,95.7,0,-45.88,498,100,345,5,2,0
22.7,67.8,9.5,-59.94,137,100,0,17,-4,0
17.8,77.7,4.6,-82.71,518,100,180,1,28,0
11.8,76.5,11.8,-45.79,697,100,120,1,2,0
14.5,77.5,8,-82.12,663,100,120,1,1,0
10.2,77.9,11.8,-20.29,441,100,0,3,3,0
5.8,89.1,5.1,5.52,561,100,180,3,2,0
22.1,60.2,17.8,-40.19,195,100,120,24,2,0
2.5,89.4,8.1,92.07,1450,100,420,5,2,0
6.8,87.6,5.6,-47.71,2366,100,600,5,1,0
0,68.3,31.7,56.21,96,100,60,2,1,0
19.7,66,14.3,-64.5,560,100,60,17,1,0
25,75,0,-94.93,374,100,120,1,1,0
16.4,79.6,4,-97.05,886,100,240,8,2,0
15.4,70.3,14.3,-44.49,446,100,180,21,1,0
10.4,89.6,0,-35.06,131,100,0,12,3,0
0,98.2,1.8,14.06,498,100,0,1,3,0
13.1,80.9,6.1,-96.09,1234,100,540,6,11,0
6.8,84,9.2,84.49,2342,100,780,4,4,0
0,100,0,0,265,100,60,27,11,0
0,100,0,0,90,100,60,3,1,0
9.4,80.3,10.3,8.78,1399,100,240,3,1,0
21.7,71.4,6.9,-76.32,274,100,60,2,1,0
18.2,74.3,7.5,-32.19,144,100,0,2,1,0
14.4,60.2,25.5,58.59,183,100,60,7,9,0
15.4,72.6,12,-20.23,101,100,0,4,0,0
0,0,100,36.12,8,100,0,1,5,0
0,100,0,0,90,100,120,8,38,0
